"编号";"位号";"封装";"数量";"名称";"供应商编号";
1;"R19";"R0603-HD";1;"100k";;;
2;"R18";"R0603-HD";1;"120K/1%";;;
3;"C9";"C0402-L-HD";1;"10uF/10V";;;
4;"U10";"R-PSON-N10";1;"PESDALC10N5VU";;;
5;"U9";"SOT-233-HD";1;"PESD2ETH";;;
6;"U11";"SOT-235-HD";1;"ME1502CM5G";;;
7;"C12,C5";"SMT_C_CYLINDER_D_6.3MM";2;"HV1C227M0607PZ/220uF/16V";;;
8;"C11,C10";"C0603-L-HD";2;"22uF 6.3V";;;
9;"C8";"C0603-L-HD";1;"22uF/10V";;;
10;"J6";"FH34RH-14S-0.5SH_14P";1;"FH34RH-14S-0.5SH_14P/XKB_X05A10H14T";;;
11;"J7";"USB-3.0-SMD_U-A-39DS-Y-1";1;"USB3.0_TypeA_SMD";;;
12;"U8,U7,U6,U5,U2";"R-PSON-N10";5;"PESDALC10N5VU";;;
13;"U4";"SOT-235-HD";1;"ME6211C33M5G-N";;;
14;"U3";"SOT-233-HD";1;"PESD2ETH";;;
15;"U1";"SOT-235-HD";1;"ME1502CM5G";;;
16;"R17,R16,R15,R14,R13,R12,R11,R10,R9,R8,R7,R6";"R0603-HD";12;"1.5K/1%";;;
17;"R5,R4";"R0603-HD";2;"100K/1%";;;
18;"R3,R2";"R0603-HD";2;"4.7K/1%";;;
19;"R1";"R0603-HD";1;"120K/1%";;;
20;"L8,L7,L6,L5,L4,L3,L2,L1";"SDMM0806";8;"SDMM0806H-2-900T";;;
21;"J5";"FH34RJ-36S-0.5SH_36P";1;"FH34RJ-36S-0.5SH_36P/XKB_X05A10H36T";;;
22;"J4,J3";"CON_HDMI_A_SMD";2;"HDMI_TYPE_A";;;
23;"J2";"USB-3.0-SMD_U-A-39DS-Y-1";1;"USB3.0_TypeA_SMD";;;
24;"J1";"FH34RH-14S-0.5SH_14P";1;"FH34RH-14S-0.5SH_14P/XKB_X05A10H14T";;;
25;"FET6,FET5,FET4,FET3,FET2,FET1";"SOT-233-HD";6;"WNM4153";;;
26;"F2,F1";"SMT_FUSE_0805";2;"100mA/6V/PPTC";;;
27;"D2,D1";"SMT_DIODE_SOD_323";2;"1N5819";;;
28;"C7,C6";"C0402-HD";2;"1uF/25V";;;
29;"C4,C3";"C0603-L-HD";2;"22uF 6.3V";;;
30;"C2";"C0402-L-HD";1;"10uF/10V";;;
31;"C1";"C0603-L-HD";1;"22uF/10V";;;
32;",";"";2;"";;;
